Location,Scooter Id ,Charge in Km,Bonus zone,No parking zone,Discount,Service fee,date,time
Gutenbergstraße,7111.0,35.0,No,No,0.0,Yes,05/04/2025,9:00:00 PM
Gutenbergstraße,7331.0,27.0,No,No,0.0,Yes,05/04/2025,9:00:00 PM
Gutenbergstraße,7132.0,34.0,No,No,0.0,Yes,05/04/2025,9:00:00 PM
Gutenbergstraße,7166.0,33.0,No,No,0.0,Yes,05/04/2025,9:00:00 PM
Gutenbergstraße,7261.0,35.0,No,No,0.0,Yes,05/04/2025,9:00:00 PM
Gutenbergstraße,7371.0,25.0,No,No,0.0,Yes,05/04/2025,9:00:00 PM
Gutenbergstraße,10022.0,21.0,No,No,0.0,Yes,05/04/2025,9:00:00 PM
Gutenbergstraße,7459.0,35.0,No,No,0.0,Yes,05/04/2025,9:00:00 PM
Gutenbergstraße,6836.0,25.0,No,No,0.0,Yes,05/04/2025,9:00:00 PM
An d. Spinnerei,7730.0,16.0,No,No,0.0,Yes,05/04/2025,9:00:00 PM
Feldkirchenstraße,6880.0,20.0,No,No,0.0,Yes,05/04/2025,9:00:00 PM
Zob,7594.0,30.0,Yes,No,0.0,No,05/04/2025,9:00:00 PM
Zob,6875.0,14.0,Yes,No,0.0,No,05/04/2025,9:00:00 PM
hallstadt,7775.0,28.0,No,No,-20.0,Yes,06/04/2025,9:00:00 AM
hallstadt,6991.0,14.0,No,No,0.0,Yes,06/04/2025,9:00:00 AM
hallstadt,7421.0,10.0,No,No,0.0,Yes,06/04/2025,9:00:00 AM
hallstadt,6945.0,17.0,No,No,0.0,Yes,06/04/2025,9:00:00 AM
hallstadt,6826.0,23.0,No,No,0.0,Yes,06/04/2025,9:00:00 AM
hallstadt,6723.0,13.0,No,No,0.0,Yes,06/04/2025,9:00:00 AM
hallstadt,6332.0,34.0,No,No,0.0,Yes,06/04/2025,9:00:00 AM
Gutenbergstraße,6624.0,25.0,No,No,0.0,Yes,06/04/2025,9:00:00 AM
Gutenbergstraße,7739.0,25.0,No,No,0.0,Yes,06/04/2025,9:00:00 AM
Gutenbergstraße,7111.0,24.0,No,No,0.0,Yes,06/04/2025,9:00:00 AM
Gutenbergstraße,7331.0,26.0,No,No,0.0,Yes,06/04/2025,9:00:00 AM
Gutenbergstraße,7166.0,31.0,No,No,0.0,Yes,06/04/2025,9:00:00 AM
Gutenbergstraße,7261.0,35.0,No,No,0.0,Yes,06/04/2025,9:00:00 AM
Gutenbergstraße,7132.0,34.0,No,No,0.0,Yes,06/04/2025,9:00:00 AM
Gutenbergstraße,7371.0,24.0,No,No,0.0,Yes,06/04/2025,9:00:00 AM
Gutenbergstraße,6836.0,24.0,No,No,0.0,Yes,06/04/2025,9:00:00 AM
Gutenbergstraße,10022.0,19.0,No,No,0.0,Yes,06/04/2025,9:00:00 AM
Gutenbergstraße,7459.0,35.0,No,No,0.0,Yes,06/04/2025,9:00:00 AM
An d. Spinnerei,7755.0,18.0,No,No,0.0,Yes,06/04/2025,9:00:00 AM
An d. Spinnerei,6816.0,10.0,No,No,0.0,Yes,06/04/2025,9:00:00 AM
An d. Spinnerei,10159.0,30.0,No,No,0.0,Yes,06/04/2025,9:00:00 AM
Feldkirchenstraße,,,No,No,0.0,Yes,06/04/2025,9:00:00 AM
Zob,,,No,No,0.0,Yes,06/04/2025,9:00:00 AM
hallstadt,7775.0,28.0,No,No,-20.0,Yes,06/04/2025,1:00:00 PM
hallstadt,6991.0,14.0,No,No,0.0,Yes,06/04/2025,1:00:00 PM
hallstadt,7421.0,10.0,No,No,0.0,Yes,06/04/2025,1:00:00 PM
hallstadt,6945.0,17.0,No,No,0.0,Yes,06/04/2025,1:00:00 PM
hallstadt,6332.0,34.0,No,No,0.0,Yes,06/04/2025,1:00:00 PM
hallstadt,6826.0,23.0,No,No,0.0,Yes,06/04/2025,1:00:00 PM
hallstadt,6723.0,13.0,No,No,0.0,Yes,06/04/2025,1:00:00 PM
hallstadt,6951.0,20.0,No,No,0.0,Yes,06/04/2025,1:00:00 PM
Gutenbergstraße,6624.0,25.0,No,No,0.0,Yes,06/04/2025,1:00:00 PM
Gutenbergstraße,7739.0,25.0,No,No,0.0,Yes,06/04/2025,1:00:00 PM
Gutenbergstraße,7111.0,34.0,No,No,0.0,Yes,06/04/2025,1:00:00 PM
Gutenbergstraße,7166.0,31.0,No,No,0.0,Yes,06/04/2025,1:00:00 PM
Gutenbergstraße,7132.0,34.0,No,No,0.0,Yes,06/04/2025,1:00:00 PM
Gutenbergstraße,7261.0,35.0,No,No,0.0,Yes,06/04/2025,1:00:00 PM
Gutenbergstraße,7166.0,31.0,No,No,0.0,Yes,06/04/2025,1:00:00 PM
Gutenbergstraße,6449.0,34.0,No,No,0.0,Yes,06/04/2025,1:00:00 PM
Gutenbergstraße,7371.0,24.0,No,No,0.0,Yes,06/04/2025,1:00:00 PM
Gutenbergstraße,6836.0,24.0,No,No,0.0,Yes,06/04/2025,1:00:00 PM
Gutenbergstraße,7459.0,35.0,No,No,0.0,Yes,06/04/2025,1:00:00 PM
An d. Spinnerei,6816.0,14.0,No,No,0.0,Yes,06/04/2025,1:00:00 PM
An d. Spinnerei,7453.0,35.0,No,No,0.0,Yes,06/04/2025,1:00:00 PM
An d. Spinnerei,6409.0,35.0,No,No,0.0,Yes,06/04/2025,1:00:00 PM
An d. Spinnerei,7755.0,35.0,No,No,0.0,Yes,06/04/2025,1:00:00 PM
An d. Spinnerei,10137.0,26.0,No,No,0.0,Yes,06/04/2025,1:00:00 PM
Feldkirchenstraße,,,No,No,0.0,Yes,06/04/2025,1:00:00 PM
Zob,7801.0,35.0,No,No,0.0,Yes,06/04/2025,1:00:00 PM
Zob,10072.0,35.0,No,No,0.0,Yes,06/04/2025,1:00:00 PM
hallstadt,7775.0,27.0,No,No,-20.0,Yes,06/04/2025,5:00:00 PM
hallstadt,7421.0,10.0,No,No,0.0,Yes,06/04/2025,5:00:00 PM
hallstadt,6991.0,14.0,No,No,0.0,Yes,06/04/2025,5:00:00 PM
hallstadt,6723.0,13.0,No,No,0.0,Yes,06/04/2025,5:00:00 PM
hallstadt,6332.0,34.0,No,No,0.0,Yes,06/04/2025,5:00:00 PM
hallstadt,6851.0,20.0,No,No,0.0,Yes,06/04/2025,5:00:00 PM
Gutenbergstraße,7739.0,34.0,No,No,0.0,Yes,06/04/2025,5:00:00 PM
Gutenbergstraße,6624.0,24.0,No,No,0.0,Yes,06/04/2025,5:00:00 PM
Gutenbergstraße,7111.0,34.0,No,No,0.0,Yes,06/04/2025,5:00:00 PM
Gutenbergstraße,7331.0,26.0,No,No,0.0,Yes,06/04/2025,5:00:00 PM
Gutenbergstraße,7166.0,30.0,No,No,0.0,Yes,06/04/2025,5:00:00 PM
Gutenbergstraße,7261.0,35.0,No,No,0.0,Yes,06/04/2025,5:00:00 PM
Gutenbergstraße,7132.0,34.0,No,No,0.0,Yes,06/04/2025,5:00:00 PM
Gutenbergstraße,7371.0,24.0,No,No,0.0,Yes,06/04/2025,5:00:00 PM
Gutenbergstraße,6449.0,33.0,No,No,0.0,Yes,06/04/2025,5:00:00 PM
Gutenbergstraße,10022.0,19.0,No,No,0.0,Yes,06/04/2025,5:00:00 PM
Gutenbergstraße,6836.0,24.0,No,No,0.0,Yes,06/04/2025,5:00:00 PM
An d. Spinnerei,6816.0,14.0,No,No,0.0,Yes,06/04/2025,5:00:00 PM
An d. Spinnerei,7730.0,12.0,No,No,0.0,Yes,06/04/2025,5:00:00 PM
An d. Spinnerei,6336.0,19.0,No,No,0.0,Yes,06/04/2025,5:00:00 PM
An d. Spinnerei,7795.0,12.0,No,No,0.0,Yes,06/04/2025,5:00:00 PM
An d. Spinnerei,6409.0,35.0,No,No,0.0,Yes,06/04/2025,5:00:00 PM
An d. Spinnerei,10137.0,29.0,No,No,0.0,Yes,06/04/2025,5:00:00 PM
Feldkirchenstraße,,,No,No,0.0,Yes,06/04/2025,5:00:00 PM
Zob,7458.0,32.0,No,No,0.0,Yes,06/04/2025,5:00:00 PM
Zob,6935.0,20.0,No,No,0.0,Yes,06/04/2025,5:00:00 PM
Zob,10127.0,26.0,No,No,0.0,Yes,06/04/2025,5:00:00 PM
hallstadt,7421.0,35.0,No,No,0.0,Yes,06/04/2025,9:00:00 PM
hallstadt,6991.0,35.0,No,No,0.0,Yes,06/04/2025,9:00:00 PM
hallstadt,6723.0,35.0,No,No,0.0,Yes,06/04/2025,9:00:00 PM
Gutenbergstraße,7739.0,34.0,No,No,0.0,Yes,06/04/2025,9:00:00 PM
Gutenbergstraße,6624.0,24.0,No,No,0.0,Yes,06/04/2025,9:00:00 PM
Gutenbergstraße,7111.0,34.0,No,No,0.0,Yes,06/04/2025,9:00:00 PM
Gutenbergstraße,7331.0,26.0,No,No,0.0,Yes,06/04/2025,9:00:00 PM
Gutenbergstraße,7166.0,30.0,No,No,0.0,Yes,06/04/2025,9:00:00 PM
Gutenbergstraße,7261.0,35.0,No,No,0.0,Yes,06/04/2025,9:00:00 PM
Gutenbergstraße,7132.0,34.0,No,No,0.0,Yes,06/04/2025,9:00:00 PM
Gutenbergstraße,7371.0,24.0,No,No,0.0,Yes,06/04/2025,9:00:00 PM
Gutenbergstraße,6449.0,33.0,No,No,0.0,Yes,06/04/2025,9:00:00 PM
Gutenbergstraße,10022.0,19.0,No,No,0.0,Yes,06/04/2025,9:00:00 PM
Gutenbergstraße,6836.0,24.0,No,No,0.0,Yes,06/04/2025,9:00:00 PM
An d. Spinnerei,6718.0,21.0,No,No,0.0,Yes,06/04/2025,9:00:00 PM
An d. Spinnerei,6816.0,13.0,No,No,0.0,Yes,06/04/2025,9:00:00 PM
An d. Spinnerei,7730.0,12.0,No,No,0.0,Yes,06/04/2025,9:00:00 PM
An d. Spinnerei,6336.0,23.0,No,No,0.0,Yes,06/04/2025,9:00:00 PM
An d. Spinnerei,7795.0,12.0,No,No,0.0,Yes,06/04/2025,9:00:00 PM
An d. Spinnerei,10137.0,29.0,No,No,0.0,Yes,06/04/2025,9:00:00 PM
An d. Spinnerei,6409.0,35.0,No,No,0.0,Yes,06/04/2025,9:00:00 PM
Feldkirchenstraße,,,No,No,0.0,Yes,06/04/2025,9:00:00 PM
Zob,6665.0,35.0,No,No,0.0,Yes,06/04/2025,9:00:00 PM
Zob,10127.0,26.0,No,No,0.0,Yes,06/04/2025,9:00:00 PM
Zob,6735.0,20.0,No,No,0.0,Yes,06/04/2025,9:00:00 PM
Zob,7458.0,32.0,No,No,0.0,Yes,06/04/2025,9:00:00 PM
hallstadt,6999.0,12.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
hallstadt,9844.0,25.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
hallstadt,10061.0,28.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
hallstadt,7421.0,35.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
hallstadt,7795.0,26.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
hallstadt,6991.0,35.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
hallstadt,6951.0,34.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
hallstadt,6723.0,35.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
hallstadt,7730.0,31.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
Gutenbergstraße,7174.0,31.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
Gutenbergstraße,7739.0,34.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
Gutenbergstraße,6624.0,35.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
Gutenbergstraße,7111.0,34.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
Gutenbergstraße,7331.0,25.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
Gutenbergstraße,7166.0,30.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
Gutenbergstraße,7261.0,35.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
Gutenbergstraße,7132.0,34.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
Gutenbergstraße,7371.0,35.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
Gutenbergstraße,6836.0,35.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
Gutenbergstraße,6449.0,33.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
Gutenbergstraße,6836.0,35.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
Gutenbergstraße,7459.0,34.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
An d. Spinnerei,6518.0,35.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
An d. Spinnerei,10137.0,29.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
An d. Spinnerei,6332.0,21.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
An d. Spinnerei,6544.0,35.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
Feldkirchenstraße,8653.0,31.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
Zob,6665.0,35.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
Zob,7458.0,31.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
Zob,7447.0,30.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
Zob,6935.0,20.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
Zob,10127.0,26.0,No,No,0.0,Yes,07/04/2025,9:00:00 AM
Zob,7761.0,35.0,Yes,No,0.0,No,07/04/2025,9:00:00 AM
Zob,9817.0,35.0,Yes,No,0.0,No,07/04/2025,9:00:00 AM
Zob,10132.0,35.0,Yes,No,0.0,No,07/04/2025,9:00:00 AM
Zob,7395.0,35.0,Yes,No,0.0,No,07/04/2025,9:00:00 AM
Zob,6452.0,35.0,Yes,No,0.0,No,07/04/2025,9:00:00 AM
Zob,7770.0,34.0,Yes,No,0.0,No,07/04/2025,9:00:00 AM
Zob,7825.0,35.0,Yes,No,0.0,No,07/04/2025,9:00:00 AM
Zob,8668.0,35.0,Yes,No,0.0,No,07/04/2025,9:00:00 AM
hallstadt,6999.0,12.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
hallstadt,9845.0,26.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
hallstadt,6407.0,22.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
hallstadt,10061.0,28.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
hallstadt,7421.0,35.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
hallstadt,7795.0,26.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
hallstadt,6991.0,35.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
hallstadt,6951.0,34.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
hallstadt,6723.0,35.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
hallstadt,7730.0,31.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
hallstadt,7174.0,31.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
Gutenbergstraße,7739.0,34.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
Gutenbergstraße,7111.0,34.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
Gutenbergstraße,7166.0,30.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
Gutenbergstraße,7261.0,35.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
Gutenbergstraße,7132.0,34.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
Gutenbergstraße,7371.0,35.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
Gutenbergstraße,6836.0,35.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
Gutenbergstraße,7459.0,34.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
Gutenbergstraße,6836.0,35.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
An d. Spinnerei,6518.0,35.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
An d. Spinnerei,10033.0,30.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
An d. Spinnerei,6364.0,26.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
An d. Spinnerei,6544.0,35.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
An d. Spinnerei,6332.0,21.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
An d. Spinnerei,10137.0,29.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
Feldkirchenstraße,7229.0,31.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
Zob,6665.0,35.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
Zob,6409.0,27.0,Yes,No,0.0,No,07/04/2025,1:00:00 PM
Zob,7761.0,35.0,Yes,No,0.0,No,07/04/2025,1:00:00 PM
Zob,10132.0,35.0,Yes,No,0.0,No,07/04/2025,1:00:00 PM
Zob,8668.0,35.0,Yes,No,0.0,No,07/04/2025,1:00:00 PM
Zob,7825.0,35.0,Yes,No,0.0,No,07/04/2025,1:00:00 PM
Zob,6452.0,35.0,Yes,No,0.0,No,07/04/2025,1:00:00 PM
Zob,7770.0,34.0,Yes,No,0.0,No,07/04/2025,1:00:00 PM
Zob,7395.0,35.0,Yes,No,0.0,No,07/04/2025,1:00:00 PM
Zob,9817.0,35.0,Yes,No,0.0,No,07/04/2025,1:00:00 PM
Zob,7447.0,30.0,Yes,No,0.0,No,07/04/2025,1:00:00 PM
Zob,7458.0,31.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
Zob,6935.0,20.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
Zob,10127.0,26.0,No,No,0.0,Yes,07/04/2025,1:00:00 PM
hallstadt,6999.0,12.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
hallstadt,9844.0,26.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
hallstadt,6991.0,35.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
hallstadt,7795.0,26.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
hallstadt,7421.0,35.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
hallstadt,6951.0,34.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
hallstadt,10137.0,19.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
hallstadt,6723.0,35.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
Gutenbergstraße,7739.0,34.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
Gutenbergstraße,6624.0,35.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
Gutenbergstraße,7111.0,34.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
Gutenbergstraße,7459.0,35.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
Gutenbergstraße,10022.0,18.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
Gutenbergstraße,6836.0,35.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
Gutenbergstraße,6449.0,33.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
Gutenbergstraße,7371.0,35.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
Gutenbergstraße,7132.0,34.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
Gutenbergstraße,7261.0,35.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
Gutenbergstraße,7331.0,25.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
Gutenbergstraße,7666.0,29.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
An d. Spinnerei,6518.0,35.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
An d. Spinnerei,6816.0,35.0,No,Yes,0.0,No,07/04/2025,5:00:00 PM
An d. Spinnerei,10033.0,30.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
An d. Spinnerei,7730.0,33.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
An d. Spinnerei,6364.0,26.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
An d. Spinnerei,7360.0,33.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
An d. Spinnerei,6332.0,21.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
Feldkirchenstraße,7229.0,31.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
Feldkirchenstraße,7129.0,30.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
Zob,6665.0,35.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
Zob,6935.0,20.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
Zob,10127.0,26.0,No,No,0.0,Yes,07/04/2025,5:00:00 PM
Zob,7161.0,35.0,Yes,No,0.0,No,07/04/2025,5:00:00 PM
Zob,10132.0,35.0,Yes,No,0.0,No,07/04/2025,5:00:00 PM
Zob,8668.0,35.0,Yes,No,0.0,No,07/04/2025,5:00:00 PM
Zob,7825.0,35.0,Yes,No,0.0,No,07/04/2025,5:00:00 PM
Zob,7770.0,34.0,Yes,No,0.0,No,07/04/2025,5:00:00 PM
Zob,7395.0,35.0,Yes,No,0.0,No,07/04/2025,5:00:00 PM
Zob,6452.0,35.0,Yes,No,0.0,No,07/04/2025,5:00:00 PM
Zob,7736.0,35.0,Yes,No,0.0,No,07/04/2025,5:00:00 PM
Zob,9817.0,35.0,Yes,No,0.0,No,07/04/2025,5:00:00 PM
hallstadt,6999.0,12.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
hallstadt,7594.0,19.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
hallstadt,6991.0,35.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
hallstadt,7795.0,26.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
hallstadt,7421.0,35.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
hallstadt,6723.0,35.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
hallstadt,7739.0,34.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
hallstadt,6624.0,34.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
hallstadt,7111.0,34.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
hallstadt,7166.0,29.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
hallstadt,7331.0,25.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
hallstadt,7261.0,35.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
hallstadt,6484.0,23.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
hallstadt,7371.0,35.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
hallstadt,10022.0,18.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
hallstadt,7459.0,34.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
hallstadt,6836.0,35.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
hallstadt,7459.0,34.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
Gutenbergstraße,7739.0,34.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
Gutenbergstraße,6624.0,35.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
Gutenbergstraße,7111.0,34.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
Gutenbergstraße,7459.0,35.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
Gutenbergstraße,10022.0,18.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
Gutenbergstraße,6836.0,35.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
Gutenbergstraße,6449.0,33.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
Gutenbergstraße,7371.0,35.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
Gutenbergstraße,7132.0,34.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
Gutenbergstraße,7261.0,35.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
Gutenbergstraße,7666.0,29.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
An d. Spinnerei,6518.0,18.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
An d. Spinnerei,5444.0,33.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
An d. Spinnerei,7753.0,23.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
An d. Spinnerei,10033.0,30.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
An d. Spinnerei,7730.0,33.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
An d. Spinnerei,6364.0,26.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
An d. Spinnerei,7360.0,33.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
An d. Spinnerei,6332.0,21.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
Feldkirchenstraße,8668.0,31.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
Feldkirchenstraße,7229.0,31.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
Feldkirchenstraße,7236.0,27.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
Feldkirchenstraße,7129.0,30.0,No,No,0.0,Yes,07/04/2025,9:00:00 PM
Zob,7761.0,35.0,Yes,No,0.0,No,07/04/2025,9:00:00 PM
Zob,10132.0,35.0,Yes,No,0.0,No,07/04/2025,9:00:00 PM
Zob,7395.0,35.0,Yes,No,0.0,No,07/04/2025,9:00:00 PM
Zob,7770.0,34.0,Yes,No,0.0,No,07/04/2025,9:00:00 PM
Zob,6536.0,34.0,Yes,No,0.0,No,07/04/2025,9:00:00 PM
Zob,6452.0,34.0,Yes,No,0.0,No,07/04/2025,9:00:00 PM
